,Unnamed: 0,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB,danceability,energy,key,loudness,mode,speechiness,acousticness,instruemtnalness,liveness,valence,tempo,duration_ms
2700,35128,The Floating Head of Zsa Zsa,64629,Laima Harmon,2024-01-09,11:01:00 AM,"Christine Wu, Allen Tinkham & Chicago Composers' Orchestra",Verdant cycles of deepening spring,Jeffrey Mumford: Echoing Depths,1,0,Classical,Albany Records,034061194828,0,0,,,,,,,,,,,,
2701,35129,The Floating Head of Zsa Zsa,64629,Laima Harmon,2024-01-09,11:08:06 AM,David Loeb,"3 Fantasias for the Japanese Consort: No. 1, Saibara",Reawakenings,1,0,Classical,"Centaur Records, Inc.",044747404523,0,0,0.19,0.025,0.025,-20.992,0.0,0.0396,0.992,0.778,0.194,0.179,97.761,107707.0
2702,35130,The Floating Head of Zsa Zsa,64629,Laima Harmon,2024-01-09,11:10:05 AM,"Gisele Witkowski, Fabio Witkowski, Fine Arts Quartet & Ralph Evans","Pastorale, menuet triste et nocturne: III. Nocturne",Enescu: Early Chamber Music,1,0,Classical,Naxos,747313448777,0,0,,,,,,,,,,,,
2703,35131,The Floating Head of Zsa Zsa,64629,Laima Harmon,2024-01-09,11:14:37 AM,Asher Ian Armstrong,"Nocturne No. 2 in F-Sharp, Op. 50",Beginnings and Endings,1,0,Classical,Blue Griffin Recording,195269265564,0,0,,,,,,,,,,,,
2704,35132,The Floating Head of Zsa Zsa,64629,Laima Harmon,2024-01-09,11:17:00 AM,Reto Bieri et al.,"Contrasts for Violin, Clarinet and Piano: Verbunkos",Take 3,1,0,Classical,Alpha,,0,0,,,,,,,,,,,,
2705,35133,The Floating Head of Zsa Zsa,64629,Laima Harmon,2024-01-09,11:22:33 AM,Marco Serino & Orchestra di Padova e del Veneto,"Taviani Brothers Suite: Il prato's Main Theme (From ""Il prato"")",Morricone: Cinema Rarities for Violin and String Orchestra,1,0,Classical,Arcana,3760195735541,0,0,,,,,,,,,,,,
2706,35134,The Floating Head of Zsa Zsa,64629,Laima Harmon,2024-01-09,11:27:42 AM,Peter Kolkay & Calidore String Quartet,Massarosa: III. Very slow and serene,Red Maple: Music for Bassoon and Strings,1,0,Classical,Bridge Records,090404958724,0,0,,,,,,,,,,,,
2707,35135,The Floating Head of Zsa Zsa,64629,Laima Harmon,2024-01-09,11:42:50 AM,XEN Miles,Save Me Pretty Baby,"Love, X",0,0,,Popular Beat Combo,859763765097,0,0,0.629,0.72,0.72,-4.898,1.0,0.124,0.0473,0.00152,0.382,0.537,158.994,297481.0
2708,35136,The Floating Head of Zsa Zsa,64629,Laima Harmon,2024-01-09,11:47:44 AM,Kokoroko,Tojo,Could We Be More,0,0,Jazz,WMG - Brownswood Recordings,5060180325343,0,0,,,,,,,,,,,,
2709,35137,The Floating Head of Zsa Zsa,64629,Laima Harmon,2024-01-09,11:51:42 AM,The Dukes Of Stratosphear,Bike Ride To The Moon - 2001 Digital Remaster,Chips From The Chocolate Fireball,0,0,Rock,UMG - Virgin Records,00724385073250,0,0,,,,,,,,,,,,
