,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB
34140,Radio King,169276,DJ Rae,2024-01-06,8:33:27 AM,The Discussions,The Jogger,Past Patterns,,,Jazz,Voltage Controlled Life,197271084539,0
34141,Radio King,169276,DJ Rae,2024-01-06,8:37:30 AM,Serge Gainsbourg,En Melody,Histoire De Melody Nelson,,,,MERLIN - Wrasse Records,5054227003578,0
34142,Radio King,169276,DJ Rae,2024-01-06,8:41:19 AM,Caravan Palace,MAD,MAD,,,,MERLIN - Lone Diggers,3663729274960,0
34143,Radio King,169276,DJ Rae,2024-01-06,8:44:32 AM,Yaeji,easy breezy,easy breezy,,,Electronic,MERLIN - XL Recordings,5059638431217,0
34144,Radio King,169276,DJ Rae,2024-01-06,8:51:07 AM,Ruby,Marrow,Marrow,,,Rock,901715 Records DK2,196051189938,0
34145,Radio King,169276,DJ Rae,2024-01-06,8:56:21 AM,Pierre Kwenders,Heartbeat,Heartbeat,,,World,UMG - Arts & Crafts Productions Inc.,0827590772250,0
34146,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,9:00:49 AM,Nduduzo Makhathini,Amathongo,Amathongo,,,Jazz,UMG - Universal Music (Pty) Ltd.,00602445536153,0
34147,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,9:01:55 AM,Nduduzo Makhathini,Amathongo,In The Spirit Of Ntu,,,Jazz,Universal Music,,0
34148,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,9:07:08 AM,Ella Fitzgerald,Suppertime - Live,Ella At The Hollywood Bowl: The Irving Berlin Songbook (Live),,,Jazz,Verve,00602445774708,1
34149,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,9:09:55 AM,Ella Fitzgerald,Supper Time,Ella at The Hollywood Bowl: The Irving Berlin Songbook,,,Jazz,Verve,,1
34150,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,9:10:14 AM,Ray Vega,So Long Eric,East West Trumpet Summit: Coast to Coast,,,Jazz,ORCHARD - Origin Records,805558287329,0
34151,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,9:11:22 AM,Ray Vega & Thomas Marriott East West Trumpet Summit,So Long Eric,Coast To Coast,,,Jazz,Origin,,0
34152,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,9:15:52 AM,Harry Skoler,Sue's Changes,Living In Sound: The Music of Charles Mingus,,,,MERLIN - Sunnyside,016728166522,0
34153,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,9:17:28 AM,Harry Skoler/Living In Sound,Sue's Changes,The Music Of Charles Mingus,,,Jazz,Sunnyside,,0
34154,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,9:28:39 AM,Charles Mingus Sextet with Eric Dolphy,AT FW You,Cornell 1964,,,Jazz,Blue Note,00094639221158,0
34155,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,9:35:29 AM,Jake Reed,Welcome Home (Reprise),Reed Between the Lines,,,,Real & Imagined Music,195269005122,0
34156,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,9:41:14 AM,Anthony Branker & Ascent,Chant for Peace Eternal,Spirit Songs,,,Jazz,Origin,656607002826,0
34157,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,9:48:10 AM,Esperanza Spalding,formwela 2 [Feat. Ganavya],Songwrightsapothecarylab,,,Jazz,Concord,00888072255166,0
34158,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,9:54:12 AM,Artemis,Penelope,In Real Time,,,Jazz,Blue Note,00602455100092,0
34159,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,10:03:45 AM,Steve Lehman Trio,Curse Fraction,The People I Love,,,Jazz,PI,0808713008227,0
34160,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,10:08:51 AM,Kurt Elling,Black Crow,Black Crow,,,Jazz,Edition,197187837687,0
34161,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,10:12:21 AM,Rez Abbasi Acoustic Quartet,Medieval Overture,Intents & Purposes,,,Jazz,Enja,063757962120,0
34162,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,10:20:39 AM,Purna Loka Ensemble,Syzygy,Metaraga,,,World,Origin,805558279423,0
34163,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,10:32:57 AM,Ergo,That never came,As subtle as tomorrow,,,,Cuneiform,045775041926,0
34164,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,10:38:57 AM,Harold Mabern,Dahomey Dance,Mabern Plays Coltrane,,,Jazz,Smoke Sessions,196292485837,0
34165,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,10:46:07 AM,Wayne Escoffery,Rivers of Babylon,Like Minds,,,Jazz,Smoke Sessions,197188173227,0
34166,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,10:51:21 AM,The Joe Farnsworth Quintet,In What Direction Are You Headed?,In What Direction Are You Headed?,,,Jazz,Smoke Sessions,,0
34167,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,11:06:14 AM,Jane Ira Bloom,Hips & Sticks,Early Americans,,,Jazz,OutLine,616892365440,0
34168,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,11:11:46 AM,Arthur Kell Speculation Quartet,Dry Delta,Live at LunÀtico,,,Jazz,Origin,805558288425,0
34169,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,11:20:08 AM,Dave McMurray,Loser,Grateful Deadication,,,Jazz,Blue Note,00602435707785,0
34170,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,11:26:42 AM,Chris Mondak,Cruel To Be Kind,Blank With Color,,,Jazz,Summit,197388263698,0
34171,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,11:32:05 AM,Jahari Stampley,Power,Still Listening,,,,Jahari Stampley,195269260545,0
34172,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,11:36:14 AM,Art Ensemble Of Chicago,Mama Koko,We Are On the Edge: A 50th Anniversary Celebration,,,,PI,0808713008029,0
34173,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,11:43:45 AM,Resavoir,Plight,Transmissions From Total Refreshment Centre,,,Jazz,Total Refreshment Centre/Blue Note,00602445364022,0
34174,Not4Prophet Radio,160545,Richard Haggerty,2024-01-06,11:51:13 AM,Soft Machine,Out-Bloody-Rageous,Grides,,,,Cuneiform,045775023021,0
34175,Rhythm Junkie,160032,DJ Shea G,2024-01-06,12:04:57 PM,Joy Oladokun,We’re All Gonna Die (with Noah Kahan),We’re All Gonna Die,,,,UMG - Joy Oladokun,602455280800,0
34176,Rhythm Junkie,160032,DJ Shea G,2024-01-06,12:07:54 PM,Orion Sun,dirty dancer - A COLORS SHOW,dirty dancer - A COLORS SHOW,,,,COLORSxSTUDIOS,840054902826,0
34177,Rhythm Junkie,160032,DJ Shea G,2024-01-06,12:10:18 PM,Junior Boys,Waiting Game,Waiting Game,,,,MERLIN - City Slang,4250506844455,0
34178,Rhythm Junkie,160032,DJ Shea G,2024-01-06,12:15:38 PM,Combustible Edison,Tickled To Death,The Impossible World,,,Rock,WMG - Subpop Record Group,098787043167,0
34179,Rhythm Junkie,160032,DJ Shea G,2024-01-06,12:19:11 PM,SSJ4Weed,Die Already,Darelle Wonder Forver,,,,Bragala Records,197386006228,0
34180,Rhythm Junkie,160032,DJ Shea G,2024-01-06,12:21:22 PM,Junior Santos,Mangulina-O,Conpambiche,,,,Junior Santos,195079389115,0
34181,Rhythm Junkie,160032,DJ Shea G,2024-01-06,12:25:43 PM,Arlo Parks,Pegasus (ft. Phoebe Bridgers),Pegasus (ft. Phoebe Bridgers),,,,Transgressive,5400863138738,0
34182,Rhythm Junkie,160032,DJ Shea G,2024-01-06,12:29:37 PM,Toro y Moi,Sidelines,Sandhills,,,,MERLIN - Dead Oceans,656605164762,0
34183,Rhythm Junkie,160032,DJ Shea G,2024-01-06,12:33:00 PM,Stevie Nicks,For What It's Worth,For What It's Worth,,,Rock,WMG - Rhino Atlantic,603497834969,1
34184,Rhythm Junkie,160032,DJ Shea G,2024-01-06,12:37:51 PM,Ben Harper,Yard Sale,Yard Sale,,,,MERLIN - Chrysalis Records,0810098505949,0
34185,Rhythm Junkie,160032,DJ Shea G,2024-01-06,12:43:11 PM,Haiku Hands,Nunchucka,Nunchucka,,,Electro,MERLIN - Spinning Top Records,617308052923,0
34186,Rhythm Junkie,160032,DJ Shea G,2024-01-06,12:46:10 PM,Kimi Djabaté,Mbembalu,Dindin,,,,Cumbancha,853001008656,0
34187,Rhythm Junkie,160032,DJ Shea G,2024-01-06,12:49:51 PM,No Showers On Vacation,Key,OVERFLOW,,,Rock,4295654 Records DK,197210370563,0
34188,The Weekly Tune-up,171926,DJ Mer,2024-01-06,1:05:46 PM,Enrico Rava,Pesce Naufrago,The Pilgrim And The Stars,,,Jazz,UMG - ECM Records,00602517758544,0
34189,The Weekly Tune-up,171926,DJ Mer,2024-01-06,1:10:59 PM,Charles Lloyd,Nachekita's Lament,Trio Of Trios,,,Jazz,Blue Note Records,602445266845,0
34190,The Weekly Tune-up,171926,DJ Mer,2024-01-06,1:20:20 PM,Meshell Ndegeocello,"Clear Water (feat. Deantoni Parks, Jeff Parker, Sanford Biggers)","Clear Water (feat. Deantoni Parks, Jeff Parker, Sanford Biggers)",,,Jazz,Blue Note Records,602448968913,0
34191,The Weekly Tune-up,171926,DJ Mer,2024-01-06,1:24:54 PM,Veronica Swift,In the Moonlight,Veronica Swift,,,Jazz,ORCHARD - Mack Avenue Records,673203120266,0
34192,The Weekly Tune-up,171926,DJ Mer,2024-01-06,1:30:09 PM,Hot Chip,Fire of Mercy,Fire of Mercy,,,,Domino Recording Co,887829137069,0
34193,The Weekly Tune-up,171926,DJ Mer,2024-01-06,1:34:20 PM,Laura Mvula,Phenomenal Woman,The Dreaming Room,,,Blues,UMG - Universal Music Australia Pty. Ltd.,00600753767214,0
34194,The Weekly Tune-up,171926,DJ Mer,2024-01-06,1:37:02 PM,Mitski,Should've Been Me,Laurel Hell,,,,MERLIN - Dead Oceans,656605155067,0
34195,The Weekly Tune-up,171926,DJ Mer,2024-01-06,1:40:14 PM,Chris Botti,Old Folks,Old Folks,,,Jazz,Blue Note Records,00602455806093,0
34196,The Weekly Tune-up,171926,DJ Mer,2024-01-06,1:53:32 PM,Maya Hawke,Thérèse,Thérèse,,,,Mom+Pop,810090092263,0
34197,The Weekly Tune-up,171926,DJ Mer,2024-01-06,1:57:40 PM,Junior Santos,Papa Boco,Conpambiche,,,,Junior Santos,195079389115,0
34198,Out of Step!,169413,Bix,2024-01-06,2:02:03 PM,Walter Smith III,quiet song,return to casual,,,Jazz,UMG - Blue Note (US1A),00602448866189,0
34199,Out of Step!,169413,Bix,2024-01-06,2:07:37 PM,Total Refreshment Centre,Plight,Transmissions From Total Refreshment Centre,,,Jazz,UMG - Total Refreshment Centre/Blue Note Records,00602445364022,0
34200,Out of Step!,169413,Bix,2024-01-06,2:15:06 PM,Side Liner,No Vember,No Vember,,,Electronic,ORCHARD - Cosmicleaf Records,193483226057,0
34201,Out of Step!,169413,Bix,2024-01-06,2:23:12 PM,Planningtorock,Beulah Loves Dancing,Powerhouse,,,,DFA,5400863000103,0
34202,Out of Step!,169413,Bix,2024-01-06,2:27:14 PM,Soccer Mommy,Feel It All The Time,"Sometimes, Forever",,,,UMG - Concord Loma Vista,00888072441132,0
34203,Out of Step!,169413,Bix,2024-01-06,2:30:27 PM,Sarah King,You Were Wrong About Me,Always An Almost,,,Rock,Ringleader Records,197077349559,0
34204,Out of Step!,169413,Bix,2024-01-06,2:37:13 PM,Ströme,Stadlberg,Stadlberg,,,,Compost Records,673794260471,0
34205,Out of Step!,169413,Bix,2024-01-06,2:42:07 PM,Slowe,Inertia,Where The Mind Wanders,,,,BELIEVE - Tru Thoughts,5060609666231,0
34206,Out of Step!,169413,Bix,2024-01-06,2:44:05 PM,Joanna Newsom,Anecdotes,Divers,,,Folk,MERLIN - Drag City Records,781484056126,0
34207,Out of Step!,169413,Bix,2024-01-06,2:50:29 PM,Hannah Jadagu,What You Did,What You Did,,,,Subpop Record Group,098787906394,0
34208,Out of Step!,169413,Bix,2024-01-06,2:53:29 PM,FAKE TYPE.,FAKE!FAKE!FAKE!,FAKE BOOK,,,Hip Hop/Rap,ORCHARD - Rambling RECORDS Inc.,4545933129696,0
34209,Out of Step!,169413,Bix,2024-01-06,2:58:02 PM,Chronixx,Capture Land,Dread & Terrible Project - 5th Anniversary (Deluxe Edition),,,,Soul Circle Music,810025341015,0
34210,"WRUV 1/6/24, 4:25 PM",64581,Program Director,2024-01-06,4:25:38 PM,Moxie,The Next,The Next,,,,MERLIN - Moxie,055120266812,0
34211,"WRUV 1/6/24, 4:25 PM",64581,Program Director,2024-01-06,4:28:25 PM,Valerie June,Pink Moon,The Moon And Stars: Prescriptions For Dreamers (Deluxe Edition),,,,UMG - Fantasy Records,888072424418,0
34212,"WRUV 1/6/24, 4:25 PM",64581,Program Director,2024-01-06,4:30:47 PM,M. Ward,too young to die,too young to die,,,,MERLIN - Anti/Epitaph,0045778796069,0
34213,"WRUV 1/6/24, 4:25 PM",64581,Program Director,2024-01-06,4:35:22 PM,Christopher McBride,Dope (For The Steppers),Ramon,,,Jazz,DISTROKID,197547219887,0
34214,"WRUV 1/6/24, 4:25 PM",64581,Program Director,2024-01-06,4:40:40 PM,Suki Waterhouse,Neon Signs,Milk Teeth,,,,Subpop Record Group,098787154061,0
34215,"WRUV 1/6/24, 4:25 PM",64581,Program Director,2024-01-06,4:43:51 PM,Here It Is,Suzanne (feat. Gregory Porter),Suzanne,,,Jazz,UMG - Blue Note (US1A),00602448054937,0
34216,"WRUV 1/6/24, 4:25 PM",64581,Program Director,2024-01-06,4:48:25 PM,Franc Moody,Cristo Redentor,Cristo Redentor,,,Jazz,UMG - Decca (UMO),00602445982035,0
34217,"WRUV 1/6/24, 4:25 PM",64581,Program Director,2024-01-06,4:53:43 PM,Isaiah J. Thompson,"Good Intentions (Learn our names, Say them right)",The Power of the Spirit,,,Jazz,ORCHARD - Blue Engine Records,197187730360,0
34218,"WRUV 1/6/24, 5:09 PM",64581,Program Director,2024-01-06,5:09:36 PM,David Blake,Single Petal of a Rose,Fun House,,,Jazz,ORCHARD - Cellar Live,196925731522,0
34219,"WRUV 1/6/24, 5:09 PM",64581,Program Director,2024-01-06,5:12:52 PM,Barrie,Races,Races,,,Rock,MERLIN - Winspear,606638762374,0
34220,"WRUV 1/6/24, 5:09 PM",64581,Program Director,2024-01-06,5:15:03 PM,Brother Culture,Jump up Pon It - Dub,Code Name,,,,BELIEVE - Evidence Music,3616405531130,0
34221,"WRUV 1/6/24, 5:09 PM",64581,Program Director,2024-01-06,5:18:33 PM,Lucy Dacus,Home Again,Home Again / It's Too Late,,,,MERLIN - Matador,5059638395274,0
34222,"WRUV 1/6/24, 5:09 PM",64581,Program Director,2024-01-06,5:21:03 PM,Sunny War,Whole,Anarchist Gospel,,,Folk,"MERLIN - New West Records, LLC",607396653232,0
34223,"WRUV 1/6/24, 5:09 PM",64581,Program Director,2024-01-06,5:24:20 PM,Beach House,Become,Become,,,,Subpop Record Group,098787154566,0
34224,"WRUV 1/6/24, 5:09 PM",64581,Program Director,2024-01-06,5:30:16 PM,Dafnis Prieto,To the Concert,Cantar,,,,Dafnison Music,195269179168,0
34225,"WRUV 1/6/24, 5:09 PM",64581,Program Director,2024-01-06,5:34:13 PM,Bombay Bicycle Club,Tekken 2 (feat. Chaka Khan),Tekken 2 (feat. Chaka Khan),,,Rock,ORCHARD - Mmm…Records Ltd,197189069376,0
34226,"WRUV 1/6/24, 5:09 PM",64581,Program Director,2024-01-06,5:38:03 PM,Feist,Hiding Out In The Open,Multitudes,,,,UMG - Universal Music Division Polydor,00602455276353,0
34227,"WRUV 1/6/24, 5:09 PM",64581,Program Director,2024-01-06,5:41:25 PM,Tanya Tagaq,Tongues - Daedelus Remix,Tongues North Star Remixes,,,,UMG - Six Shooter Records,044003277298,0
34228,"WRUV 1/6/24, 5:09 PM",64581,Program Director,2024-01-06,5:44:48 PM,Matt Costa,Holy Mountain,Donde Los Terremotos: Songs from and Inspired by the Film,,,Folk,Dangerbird Records,842803024865,0
34229,"WRUV 1/6/24, 5:09 PM",64581,Program Director,2024-01-06,5:50:17 PM,José González,Visions,Visions,,,,WMG - Mute (Artist Intelligence),724596105559,0
34230,"WRUV 1/6/24, 5:09 PM",64581,Program Director,2024-01-06,5:53:55 PM,Club d'Elf,D'Empty Dance,As Above,,,World,ORCHARD - Face Pelt Records,827577568906,0
34231,Cultural Bunker,65227,Melo Grant,2024-01-06,6:01:19 PM,Dolly Parton,World On Fire,World On Fire,,,Rock,UMG - Big Machine,00843930095278,1
34232,Cultural Bunker,65227,Melo Grant,2024-01-06,6:13:07 PM,Death Cab for Cutie,An Arrow In The Wall,An Arrow In The Wall,,,,Atlantic Records,075679676832,1
34233,Cultural Bunker,65227,Melo Grant,2024-01-06,6:17:53 PM,Durand Jones,Lord Have Mercy,Lord Have Mercy,,,R&B/Soul,MERLIN - Dead Oceans,656605158082,0
34234,Cultural Bunker,65227,Melo Grant,2024-01-06,6:21:25 PM,José González,Swing - Ants in the Pants Version,Local Valley (Deluxe),,,Electronic,WMG - Mute (Artist Intelligence),4250506844233,0
34235,Cultural Bunker,65227,Melo Grant,2024-01-06,6:24:41 PM,Joanna Newsom,Divers,Divers,,,Folk,MERLIN - Drag City Records,781484056126,0
34236,Cultural Bunker,65227,Melo Grant,2024-01-06,6:31:45 PM,A Box of Stars,Frankie is Alive,Somethinghood,,,Folk,Self Release,197814144652,0
34237,Cultural Bunker,65227,Melo Grant,2024-01-06,6:35:44 PM,Jesse Davis,Street of Dreams - Live,Live at Smalls Jazz Club,,,Jazz,ORCHARD - Cellar Live,197187084333,0
34238,Cultural Bunker,65227,Melo Grant,2024-01-06,6:43:16 PM,Supershy,Take My Time,Change / Take My Time,,,Electronic,MERLIN - Beyond The Groove,5056167174363,0
34239,Cultural Bunker,65227,Melo Grant,2024-01-06,6:48:39 PM,Saint Albums,Dream USA,Bay,,,,5970593 Records DK,198088189523,0
34240,Cultural Bunker,65227,Melo Grant,2024-01-06,6:55:10 PM,The Beths,Brand New Colony,We Looked Like Giants / Brand New Colony,,,,Subpop Record Group,098787163261,0
34241,Cultural Bunker,65227,Melo Grant,2024-01-06,7:01:59 PM,Jeff Coffin,Ruthie,Between Dreaming and Joy,,,Jazz,Ear Up Records,658580496043,0
34242,Cultural Bunker,65227,Melo Grant,2024-01-06,7:06:01 PM,Peter Day,More For The Memoir,More For The Memoir,,,Folk,DISTROKID - 2231966 Records DK,197207613017,0
34243,Cultural Bunker,65227,Melo Grant,2024-01-06,7:09:37 PM,TEKE::TEKE,Doppelganger,Doppelganger,,,Rock,MERLIN - Kill Rock Stars,759656074605,0
34244,Cultural Bunker,65227,Melo Grant,2024-01-06,7:13:27 PM,Einar Torfi Einarsson,Desiring-Machines: Partial-object 0.1667,Dutch Masters,,,Classical,Challenge Classics,608917263329,0
34245,Cultural Bunker,65227,Melo Grant,2024-01-06,7:17:33 PM,Junior Santos,Pri Pri,Conpambiche,,,,Junior Santos,195079389115,0
34246,Cultural Bunker,65227,Melo Grant,2024-01-06,7:21:33 PM,The National,Tropic Morning News,Tropic Morning News,,,,MERLIN - 4AD,5059638401678,0
34247,Cultural Bunker,65227,Melo Grant,2024-01-06,7:26:06 PM,Steven Bamidele,Dark Sense Of Humour (Farfisa),Dark Sense Of Humour (Farfisa),,,R&B/Soul,MERLIN - Tru Thoughts,5060609666453,0
34248,Cultural Bunker,65227,Melo Grant,2024-01-06,7:30:10 PM,Bill Frisell,Dog on a Roof,Four,,,Jazz,Blue Note Records,602445523184,0
34249,Cultural Bunker,65227,Melo Grant,2024-01-06,7:36:49 PM,Sufjan Stevens,Fourth of July - April Base Version,Fourth of July,,,,Asthmatic Kitty,729920165506,0
34250,Cultural Bunker,65227,Melo Grant,2024-01-06,7:45:15 PM,The Young Love Scene,Girl On Down The Hall,Gush,,,Rock,DISTROKID - Bad Dummy Records,197210948014,0
34251,Cultural Bunker,65227,Melo Grant,2024-01-06,7:50:27 PM,Dave McMurray,Scarlet Begonias,Scarlet Begonias,,,Jazz,UMG - Blue Note Records,00602455538116,0
34252,Cultural Bunker,65227,Melo Grant,2024-01-06,7:56:16 PM,Adi Oasis,Red To Violet - Feat. Jamila Woods,Red To Violet (Feat. Jamila Woods),,,R&B/Soul,Unity Records,3616849509825,0
34253,Rock Rasta Radio,171934,DJ Cro,2024-01-06,8:00:55 PM,Mayer Hawthorne,The Pool,The Pool,,,R&B/Soul,P&L Records,5054197650574,0
34254,Rock Rasta Radio,171934,DJ Cro,2024-01-06,8:04:29 PM,Born74,Freedom To Choose,Mind Vibrations,,,Jazz,MERLIN - Tru Thoughts,5060609666279,0
34255,Rock Rasta Radio,171934,DJ Cro,2024-01-06,8:08:31 PM,Tunico,Sambola,Sambola,,,,BELIEVE - Far Out Recordings,3617052477413,0
34256,Rock Rasta Radio,171934,DJ Cro,2024-01-06,8:17:17 PM,The xx,Angels,Young Turks 2012,,,,Young Turks,634904608552,0
34257,Rock Rasta Radio,171934,DJ Cro,2024-01-06,8:18:43 PM,ZHU,Faded,"RMF Hot New, Vol. 7",,,,Mind of a Genius,886444754842,0
34258,Rock Rasta Radio,171934,DJ Cro,2024-01-06,8:20:36 PM,Dubmatix,Samurai Dub,Dubmatix Meets Future Dub Orchestra,,,Reggae,ORCHARD - Echo Beach,196626996626,0
34259,Rock Rasta Radio,171934,DJ Cro,2024-01-06,8:24:37 PM,Samara Joy,I Miss You So,I Miss You So,,,Jazz,Verve,00602455527691,0
34260,Rock Rasta Radio,171934,DJ Cro,2024-01-06,8:28:25 PM,Kate Bollinger,You At Home,You At Home,,,,MERLIN - Ghostly International,804297843308,0
34261,Rock Rasta Radio,171934,DJ Cro,2024-01-06,8:37:21 PM,Meridian Brothers,Metamorfosis,Metamorfosis,,,,BELIEVE - Ansonia Records,3616846875992,0
34262,Rock Rasta Radio,171934,DJ Cro,2024-01-06,8:42:14 PM,Chet Baker,Look For The Silver Lining,Triple Best Of,,,Jazz,BELIEVE - Past Hereos,3610151973480,0
34263,Rock Rasta Radio,171934,DJ Cro,2024-01-06,8:44:52 PM,Phoebe Bridgers,So Much Wine,So Much Wine,,,,Dead Oceans,656605164366,1
34264,Rock Rasta Radio,171934,DJ Cro,2024-01-06,8:48:56 PM,Bebel Gilberto,É Preciso Perdoar,É Preciso Perdoar,,,,[PIAS],5400863130169,0
34265,Rock Rasta Radio,171934,DJ Cro,2024-01-06,8:53:02 PM,Tony Allen,No End,Tony Allen JID018,,,World,MERLIN - Jazz Is Dead,634457133099,0
34266,Rock Rasta Radio,171934,DJ Cro,2024-01-06,9:08:07 PM,PACKS,4th of July,4th of July,,,,MERLIN - Fire Talk,634457121614,0
34267,Rock Rasta Radio,171934,DJ Cro,2024-01-06,9:11:04 PM,Kimi Djabaté,Alidonke,Alidonke,,,,Cumbancha,853001008656,0
34268,Rock Rasta Radio,171934,DJ Cro,2024-01-06,9:15:23 PM,Helado Negro,I Just Want To Wake Up With You,I Just Want To Wake Up With You,,,,MERLIN - 4AD,5059638411370,0
34269,Rock Rasta Radio,171934,DJ Cro,2024-01-06,9:19:11 PM,Meshell Ndegeocello,The 5th Dimension (feat. The HawtPlates),The 5th Dimension (feat. The HawtPlates),,,Jazz,Blue Note Records,00602455471482,0
34270,Rock Rasta Radio,171934,DJ Cro,2024-01-06,9:28:51 PM,Fatima Al Qadiri,Sheba,Medieval Femme,,,Electronic,MERLIN - Hyperdub,5056321637352,0
34271,Rock Rasta Radio,171934,DJ Cro,2024-01-06,9:28:51 PM,Fatima Al Qadiri,Sheba,Medieval Femme,,,Electronic,MERLIN - Hyperdub,5056321637352,0
34272,Rock Rasta Radio,171934,DJ Cro,2024-01-06,9:32:24 PM,Adam Rudolph's Moving Pictures,Walking the Curve,Dream Garden,,,Jazz,"Justin Time Records, Inc.",68944853724,0
34273,Rock Rasta Radio,171934,DJ Cro,2024-01-06,9:38:02 PM,Tunico,Galope,Galope,,,,BELIEVE - Far Out Recordings,3617052477406,0
34274,Rock Rasta Radio,171934,DJ Cro,2024-01-06,9:45:08 PM,Harold Mabern,Dahomey Dance,Mabern Plays Coltrane,,,Jazz,ORCHARD - Smoke Sessions,196292485837,0
34275,Rock Rasta Radio,171934,DJ Cro,2024-01-06,9:52:19 PM,Bria,Where Have All The Cowboys Gone?,Where Have All the Cowboys Gone?,,,,Subpop Record Group,098787905946,0
34276,Rock Rasta Radio,171934,DJ Cro,2024-01-06,9:56:37 PM,Ozomatli,Mi Destino,Mi Destino,,,Hip Hop/Rap,ORCHARD - Blue Elan Records LLC,196006893163,0
34277,7 Minutes of Breathing,171927,glumbus,2024-01-06,10:00:32 PM,Dubmatix,Heavy Stepper,Dubmatix Meets Future Dub Orchestra,,,Reggae,Echo Beach,196626996626,0
34278,7 Minutes of Breathing,171927,glumbus,2024-01-06,10:05:19 PM,Rahill,Fables,Fables,,,,Big Dada,5054429174588,0
34279,7 Minutes of Breathing,171927,glumbus,2024-01-06,10:08:46 PM,Sampa the Great,"Never Forget [Feat. Chef 187, Tio Nason, Mwanjé]",Never Forget,,,,UMG - Concord Loma Vista,00888072447721,0
34280,7 Minutes of Breathing,171927,glumbus,2024-01-06,10:12:21 PM,Count Basie,"Oh, Lady Be Good",Harmonised Jazz,,,Jazz,Blooming Jazz Records,3610153116175,1
34281,7 Minutes of Breathing,171927,glumbus,2024-01-06,10:15:26 PM,Echo Conscious,1997,Emotional Patterns,,,Electronic,Harmonious Discord,853566497452,0
34282,7 Minutes of Breathing,171927,glumbus,2024-01-06,10:18:47 PM,Donald Vega,¡Baila! Dance Like No One’s Watching,¡Baila! Dance Like No One’s Watching,,,Jazz,MERLIN - Tiger Turn,634164019273,0
34283,7 Minutes of Breathing,171927,glumbus,2024-01-06,10:22:39 PM,Herbie Hancock,Jack Rabbit,The Complete Blue Note Sixties Sessions,,,Jazz,UMG - EMI,00602508534065,1
34284,7 Minutes of Breathing,171927,glumbus,2024-01-06,10:28:39 PM,The Go! Team,Ladyflash,"Thunder, Lightning, Strike",,,,Memphis Industries,5024545371383,0
34285,7 Minutes of Breathing,171927,glumbus,2024-01-06,10:32:51 PM,Ebi Soda,Please Don't - Instrumental,Please Don't,,,,MERLIN - Tru Thoughts,5060609666118,0
34286,7 Minutes of Breathing,171927,glumbus,2024-01-06,10:35:52 PM,Buck Clayton,After Theatre Jump,Swingin' Christmas,,,,Railroad,884385487096,0
34287,7 Minutes of Breathing,171927,glumbus,2024-01-06,10:40:35 PM,Franck Biyong,Music Better,Moonwatching 2,,,,BELIEVE - Akhetaton Records,3617380604109,0
34288,7 Minutes of Breathing,171927,glumbus,2024-01-06,10:45:28 PM,Svaneborg Kardyb,Fragt,Fragt,,,,MERLIN - Gondwana Records,5050580782709,0
34289,7 Minutes of Breathing,171927,glumbus,2024-01-06,10:50:24 PM,Ben Harper,Love After Love,Love After Love,,,,Chrysalis Records,0810098505871,0
34290,7 Minutes of Breathing,171927,glumbus,2024-01-06,10:52:54 PM,Olivia Dean,The Hardest Part,Trending Now Volume 13,,,,AMF Records,00602507210168,0
34291,7 Minutes of Breathing,171927,glumbus,2024-01-06,10:55:54 PM,Slowe,Feel,Where The Mind Wanders,,,,BELIEVE - Tru Thoughts,5060609666231,0
34292,7 Minutes of Breathing,171927,glumbus,2024-01-06,11:00:41 PM,Martin Denny,Llama Serenade,Primitiva,,,,BELIEVE - Milestones Records,3616405273351,0
